Date;Group;Series;Value
29/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8163
30/01/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
02/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8061
03/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8104
04/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
05/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8107
06/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
09/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,817
10/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8163
11/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
12/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
13/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
16/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
17/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8104
18/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8107
19/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
20/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
23/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8107
24/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
25/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
26/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
27/02/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8084
01/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
02/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
03/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
04/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
05/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
08/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
09/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,814
10/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8127
11/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
12/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
